Event_Name,Type,Description,Date,Time,Agenda
Pratishurti,Cultural,Cultural fest including dance music and performances,02-04-2026,06:30 PM,"Opening ceremony, dance performances, music band, awards"
GenWave,Dance,Hip hop and modern dance competition,03-04-2026,05:30 PM,"Solo acts, group battles, winner announcement"
ICPC,Coding,Competitive programming and problem solving,04-04-2026,09:30 AM,"Problem-solving rounds, team challenges, prize distribution"
Dalal Street,Business,Stock market simulation and trading game,05-04-2026,02:00 PM,"Stock trading simulation, portfolio management, top trader awards"
Vibrato,Music,Singing and instrumental music competition,06-04-2026,07:00 PM,"Solo singing, instrumentals, audience voting, winner announcement"
Garba Night,Dance,Traditional garba and cultural dance event,08-04-2026,07:00 PM,"Group garba, costume contest, live music, prize ceremony"
Loop Logic,Coding,Logic building and coding challenges,09-04-2026,10:00 AM,"Logic puzzles, timed coding challenges, leaderboard"
BizCoin,Business,Business strategy and finance game,10-04-2026,02:30 PM,"Business simulations, strategy planning, top strategy awards"
Robothon,Robotics,Robotics workshop and hands-on competition,12-04-2026,10:00 AM,"Robotics workshop, hands-on building, mini-competition, prize distribution"
Quizfinity,Quiz,General knowledge and technical quiz competition,13-04-2026,10:00 AM,"Preliminary rounds, finals, buzzer rounds, winners announced"
Flash Mob,Dance,Public dance performance and group choreography,15-04-2026,04:30 PM,"Group choreography, live performance in campus, audience engagement"
Bug Bash,Coding,Debugging and coding challenge event,16-04-2026,10:30 AM,"Debugging tasks, coding puzzles, leaderboard, winner announcement"
Commerce Conclave,Business,Business networking and strategy discussions,18-04-2026,11:00 AM,"Panel discussions, networking, case study analysis, awards for best strategy"
RoboVerse,Robotics,Advanced robotics innovation event,19-04-2026,11:00 AM,"Robotics demos, innovation showcase, judges review, awards"
BirdBox,Public Speaking,Public speaking and communication challenge,20-04-2026,01:00 PM,"Speech competition, communication exercises, feedback session, winner announcement"
Rhythm and Recharge,Dance,Energetic dance performances and competitions,22-04-2026,06:00 PM,"Dance performances, group competitions, audience voting, prize ceremony"
Code Storm,Coding,Fast-paced competitive coding contest,23-04-2026,09:00 AM,"Timed coding rounds, problem-solving, leaderboard, prizes"
Market Masters,Business,Marketing and business strategy competition,24-04-2026,12:00 PM,"Marketing challenges, business case analysis, prize announcement"
RoboSphere,Robotics,Robotics exhibition and showcase event,25-04-2026,01:00 PM,"Robotics projects showcase, interactive demos, awards"
Voice of Vision,Public Speaking,Speech and presentation competition,26-04-2026,02:00 PM,"Prepared speeches, presentation rounds, judges feedback, winners declared"
Footstep,Dance,Dance battle and choreography competition,28-04-2026,05:00 PM,"Dance battles, group choreography, finals, winner announcement"
Hackathon,Coding,Build innovative tech projects through coding,29-04-2026,09:00 AM,"Project brainstorming, coding sprint, presentation to judges, prize distribution"
MechanoX,Robotics,Mechanical and robotics engineering challenge,30-04-2026,12:00 PM,"Engineering challenge, building session, testing, awards for best design"
Verbal Vanguard,Public Speaking,Advanced public speaking contest,01-05-2026,03:00 PM,"Debates, extempore speech, audience Q&A, winner announcement"
Quizzeus,Quiz,Competitive quiz event with multiple rounds,02-05-2026,11:00 AM,"Prelims, semifinals, final rounds, trophy ceremony"
Naqaab,Acting,Drama and stage acting performances,04-05-2026,06:00 PM,"Drama acts, monologues, audience voting, awards"
Haskrush,Coding,Programming contest with algorithm challenges,05-05-2026,10:00 AM,"Algorithm problems, time-limited challenges, leaderboard, prizes"
Speak Off,Public Speaking,Debate and extempore speaking competition,06-05-2026,04:00 PM,"Debates, extempore rounds, judges feedback, winners"
Lantrafestation,Gaming,LAN-based multiplayer gaming tournament,07-05-2026,04:00 PM,"Team matches, knockout rounds, finals, prize distribution"
Virtual Gaming,Gaming,Virtual reality gaming experience,08-05-2026,03:30 PM,"VR challenges, multiplayer rounds, top scorer awards"
Plus Night,Music,Live music performances and band shows,10-05-2026,08:00 PM,"Live band performances, solo acts, audience interaction, prize distribution"
VibeEscape,Music,Chill DJ night and music experience,11-05-2026,08:30 PM,"DJ performances, music games, chill zone, interactive activities"
Taal Tadka,Music,Fusion of classical and modern music,12-05-2026,06:30 PM,"Classical performances, modern fusion, group acts, audience voting"
Art Affairs,Art,Creative art and painting competition,13-05-2026,11:00 AM,"Art creation, live painting, exhibition, awards"
Picasso,Art,Drawing and painting showcase event,14-05-2026,11:30 AM,"Art showcase, painting display, audience voting, awards"
